FlightNumber,Date,Route,AircraftType,Distance_km,Payload_kg,PassengerCount,FuelUplifted_kg,PlannedFuel_kg,ActualFuel_kg,CG_Position_percent_MAC,DelayMinutes,DelayReason,TaxiOutTime_min,WindComponent_kts,WeatherCondition
AB3033,11-02-2024,SHJ-JED,A320,1402.7,14763.2,144,9858.4,10023.9,9587.2,26.19,24,None,22.9,-0.4,Fog
AB3034,17-01-2024,SHJ-DEL,A321,1894.4,15797.3,221,9648.4,9730.4,9319.1,30.55,62,Weather,18.5,-13.2,Clear
AB3035,13-04-2024,SHJ-RUH,A320,1811.2,15284.1,181,6933.6,6983.2,6694.9,30.69,22,None,15,-30.1,Fog
AB3036,15-04-2024,SHJ-MCT,A321,2361,17404.9,225,9074.4,9180,8743.9,28.06,0,Technical,20.1,-17.1,Clear
AB3037,28-02-2024,SHJ-RUH,A321,2310.7,17291,239,8724.1,8861.6,8361.1,28.69,12,Weather,16.6,11.6,Storm
AB3038,09-01-2024,SHJ-MCT,A320,1821,14451.5,159,7520.4,7675.4,7350.6,28.77,3,Weather,13.5,-17.3,Fog
AB3039,24-03-2024,SHJ-DEL,A321,2100.5,16278,184,9717.1,9871.8,9393.4,28.85,3,Weather,10.2,-3.5,Cloudy
AB3040,09-01-2024,SHJ-JED,A321,2378.6,16528.7,183,8285.5,8433.7,8040.2,29.29,0,ATC,20,-32.6,Rain
AB3041,13-03-2024,SHJ-CAI,A320,1695.6,14971.7,180,9093.1,9237.3,8795.4,27.41,4,None,16.4,-19.6,Storm
AB3042,25-02-2024,SHJ-JED,A320,1542.7,13775,194,6907.5,6945,6740.4,30.66,19,None,16.6,-19,Cloudy
AB3043,25-03-2024,SHJ-DOH,A321,2245.5,15859.6,199,9342.3,9422.5,9114.8,29.35,0,Weather,31,-8.7,Rain
AB3044,12-02-2024,SHJ-MCT,A321,1946,14022.1,196,10184.4,10278.8,9835.3,28.4,0,ATC,16,-35.2,Fog
AB3045,28-03-2024,SHJ-RUH,A321,2120.2,17831,194,10110.9,10156.9,9734.5,28.16,31,None,13.4,-20.9,Fog
AB3046,07-01-2024,SHJ-JED,A321,2608,17479.8,211,10340.7,10491.6,10046.3,26.95,7,Weather,7.6,-17.6,Clear
AB3047,19-03-2024,SHJ-DEL,A321,2152.8,17860.7,224,8973.9,9092.9,8714.5,28.43,9,None,24.6,-32.4,Cloudy
AB3048,01-02-2024,SHJ-RUH,A320,1710.5,13692.6,228,8608.2,8746.6,8195,28.84,19,None,19.8,-41.8,Clear
AB3049,24-03-2024,SHJ-DOH,A320,1871.6,13891.7,175,7929.1,8076.1,7552.8,25.09,1,Technical,8.7,-16.4,Clear
AB3050,21-02-2024,SHJ-RUH,A321,2139.9,17855.8,214,9014.5,9098.6,8620.6,28.5,17,None,26.1,-7.2,Storm
AB3051,30-03-2024,SHJ-DOH,A320,1913.4,16750.9,150,7245.3,7421,6930.7,27.06,45,None,10.8,-21.8,Cloudy
AB3052,13-01-2024,SHJ-CAI,A321,2234.7,15617.4,197,10296.6,10290.9,9852.5,29.18,7,ATC,18.5,-24.8,Storm
AB3053,22-04-2024,SHJ-CAI,A321,1941.9,18042.3,233,9396,9465.5,9144.8,26.41,17,ATC,21.9,-17.9,Rain
AB3054,21-02-2024,SHJ-MCT,A320,1782.7,14133.4,147,7500.4,7635.3,7217.1,29.38,5,Technical,12.8,-19.5,Clear
AB3055,13-02-2024,SHJ-DOH,A320,2202.3,13042.2,182,9336,9400.9,9072,28.57,17,Weather,21.5,11.1,Clear
AB3056,22-04-2024,SHJ-RUH,A320,1833.4,12807.8,166,8241.6,8331.7,7814.8,27.59,0,None,20.7,30.2,Clear
AB3057,28-03-2024,SHJ-CAI,A320,1755.5,14452,154,6718.7,6820.1,6375.3,25.61,42,ATC,20.1,-18.9,Fog
AB3058,02-01-2024,SHJ-DEL,A321,2115.6,16905.3,219,9901.3,10066.1,9494.5,31.01,0,Technical,15.1,-14.6,Clear
AB3059,12-04-2024,SHJ-RUH,A321,2044.2,15882,219,10400.8,10491.2,9973.2,29.46,14,None,18.1,-32.2,Cloudy
AB3060,25-01-2024,SHJ-JED,A321,2011.4,17166.7,193,7723.1,7895.8,7426.3,26.21,4,ATC,21.4,-47.4,Cloudy
AB3061,14-02-2024,SHJ-DEL,A320,1757.3,12860.5,144,7597.6,7637.3,7409.9,27.94,54,Weather,21.8,-4.8,Fog
AB3062,23-01-2024,SHJ-DOH,A320,1959.5,13302.5,171,9097.7,9207.4,8714.9,28.52,59,Weather,22.2,-24.7,Storm
AB3063,04-01-2024,SHJ-RUH,A320,1785.2,12945.8,211,9603.9,9812.9,9295.5,28.63,1,None,22.5,-14,Clear
AB3064,13-04-2024,SHJ-CAI,A321,2367.6,15130.9,193,10988.5,11159.2,10519.2,31.22,21,ATC,20.5,-33.7,Cloudy
AB3065,16-03-2024,SHJ-RUH,A320,1683.9,12011.7,158,5941.5,6060.9,5533.4,25.97,6,None,27.8,-21.9,Storm
AB3066,25-01-2024,SHJ-RUH,A320,1600.3,12214.5,129,8535.6,8618,8279,27.57,7,None,11.9,-15.3,Rain
AB3067,30-04-2024,SHJ-DOH,A321,1915.5,15744.2,230,9876.2,10083.7,9507.6,28.94,10,None,16.7,-26.7,Clear
AB3068,26-03-2024,SHJ-RUH,A320,1597.9,14084.1,172,8410.8,8557.1,8104.3,28.03,1,Technical,13.4,-43.2,Rain
AB3069,19-01-2024,SHJ-MCT,A321,2492.1,15800.9,191,9082.5,9264.4,8810.3,28.67,62,ATC,18.3,10.9,Storm
AB3070,06-01-2024,SHJ-CAI,A320,1978.8,14361,196,9122.2,9338.1,8758.8,27.5,0,None,14.6,6.3,Storm
AB3071,13-04-2024,SHJ-JED,A320,2090.2,13474.7,117,7794.2,7869.5,7595.5,26.95,0,None,27.4,-30.3,Clear
AB3072,25-03-2024,SHJ-JED,A321,2482.5,16278.6,187,10009.1,10098.7,9748.2,29.14,0,None,9.9,-20.8,Fog
AB3073,14-03-2024,SHJ-JED,A321,2392.8,15598.4,213,11005.5,11109.8,10714.5,29.06,0,None,13,-34.8,Cloudy
AB3074,06-02-2024,SHJ-CAI,A320,1873.6,14757.9,181,7621.5,7736.8,7212.1,28.07,0,Weather,13.9,-42.8,Cloudy
AB3075,07-02-2024,SHJ-JED,A321,2325.4,16595,188,9804.4,9852.2,9646.7,28.29,20,Weather,25,-28.8,Storm
AB3076,11-01-2024,SHJ-DOH,A320,2064.5,14047.4,169,7936.2,8058.2,7655.9,28.74,0,Weather,17.1,5,Rain
AB3077,12-03-2024,SHJ-DOH,A321,2235.4,16786.7,233,8998.8,9139.6,8702.2,30.24,0,Technical,14.3,-35,Rain
AB3078,08-04-2024,SHJ-JED,A320,1775.2,13077.3,178,8172.4,8320.1,7783.5,28.68,3,Weather,18.5,-26.9,Clear
AB3079,25-01-2024,SHJ-DEL,A321,1927.1,17453.8,208,7997.4,8086.2,7643.7,26.94,0,None,14.5,-16.8,Fog
AB3080,10-03-2024,SHJ-MCT,A321,2357.6,17253.8,222,9465.6,9600.6,8993.4,29.22,21,None,16,-20.9,Fog
AB3081,04-01-2024,SHJ-DEL,A321,1783.6,16113.3,240,9648.4,9798.3,9337.7,29.36,0,Technical,18.1,-37,Rain
AB3082,09-03-2024,SHJ-DEL,A321,2236.7,15662.3,228,8989.8,9084.1,8772.2,29.37,0,None,15.4,-18.4,Fog
AB3083,18-04-2024,SHJ-MCT,A321,2467.7,13971.3,222,9116.4,9182.4,8865.9,28.64,22,Late Arrival,15.3,4.9,Clear
AB3084,26-04-2024,SHJ-MCT,A320,1924.8,14198,161,9189.9,9231.8,8756.3,27.3,22,Weather,22.7,-24.5,Cloudy
AB3085,24-04-2024,SHJ-MCT,A321,2051.5,16578.6,239,9541,9646.5,9367.4,29.78,7,ATC,24.3,-7,Cloudy
AB3086,04-03-2024,SHJ-MCT,A320,1787.6,14043.1,128,9210.2,9290.2,8943.2,27.45,19,ATC,12.4,-34.8,Storm
AB3087,27-01-2024,SHJ-JED,A320,1789.5,13373.5,171,7410.1,7544.8,6950.6,28.68,0,None,30,-26.6,Clear
AB3088,25-04-2024,SHJ-MCT,A321,2057.2,17206.7,213,8681.6,8830.4,8162,29,58,None,22.1,-20.2,Storm
AB3089,15-04-2024,SHJ-MCT,A321,2656.3,17159,222,9113.7,9193.1,8808.7,30.44,0,None,24.8,-33.2,Storm
AB3090,06-01-2024,SHJ-MCT,A320,1788.4,13704.8,154,8689.8,8756.4,8390.3,28.15,0,Weather,15.3,-42.5,Fog
AB3091,26-03-2024,SHJ-CAI,A321,2109.9,16994.2,210,11315.1,11391.9,10753.8,28.17,32,Late Arrival,19.7,-3,Rain
AB3092,27-01-2024,SHJ-JED,A321,2279.8,16305.6,206,9932.8,10093.8,9653.9,27.7,34,Weather,8.6,-17.8,Clear
AB3093,23-02-2024,SHJ-DOH,A321,2133.8,14983.6,168,8402.5,8472.4,8097.9,27.96,37,Technical,11.8,-9.8,Cloudy
AB3094,14-04-2024,SHJ-DOH,A321,2022.2,15377.2,197,10119.9,10234.3,9957.1,28.04,0,Late Arrival,20,12.6,Storm
AB3095,06-01-2024,SHJ-JED,A321,2017.8,17219.9,203,9025.3,9083.1,8618.1,27.85,19,ATC,26,-8.8,Cloudy
AB3096,10-01-2024,SHJ-JED,A320,1518.6,13384.7,184,9581.1,9652.2,9258.2,29.65,8,ATC,15,-31.6,Storm
AB3097,09-01-2024,SHJ-MCT,A321,1961,19333.6,238,8843.7,8970.4,8370.5,29.47,0,ATC,15.4,-20.6,Rain
AB3098,28-03-2024,SHJ-JED,A321,1806.9,16013.2,210,10809.5,10950.1,10571.2,26.94,33,Technical,13.5,-18,Rain
AB3099,06-02-2024,SHJ-RUH,A321,2281.3,16710.2,207,8258.5,8408.3,8047.4,28.4,7,ATC,10.5,-7.1,Clear
AB3100,20-02-2024,SHJ-MCT,A320,1536.1,14916,143,9014.5,9086.6,8713.5,29.6,8,Weather,16.2,-6.4,Storm
AB3101,26-01-2024,SHJ-MCT,A320,1503.9,11472.8,188,7163.7,7266,6777.2,26.84,22,Weather,15.9,-36.2,Clear
AB3102,15-01-2024,SHJ-MCT,A320,1589.7,12267.2,173,7064.6,7155.5,6768.1,27.06,0,None,30.7,-20.7,Cloudy
AB3103,11-01-2024,SHJ-JED,A320,2164.7,15164.9,158,8181,8373.2,7865.8,28.83,0,Technical,19.8,-7.9,Fog
AB3104,17-02-2024,SHJ-DOH,A320,1564.9,14494.1,191,7142.5,7300.6,6914.5,27.65,0,Weather,22.4,-11.3,Clear
AB3105,25-03-2024,SHJ-RUH,A320,1818.9,15124.6,188,7917.2,8096.3,7419.7,26.02,0,None,6.7,-24.9,Rain
AB3106,06-01-2024,SHJ-RUH,A320,1557.8,13185.7,186,6245.2,6351.4,5932.2,27.92,12,None,6.8,-32.1,Rain
AB3107,20-04-2024,SHJ-CAI,A320,2108.6,12803.1,198,6593.2,6645.6,6445.9,29.13,0,Technical,19.7,-18.9,Cloudy
AB3108,25-04-2024,SHJ-JED,A320,1789.1,15274.1,180,6857.1,7044.3,6584.7,28.32,0,Technical,10.8,-6.6,Cloudy
AB3109,07-02-2024,SHJ-RUH,A320,1940.5,13078.6,179,9599.4,9779.6,9153.6,28.56,6,Technical,16,-20.3,Cloudy
AB3110,12-02-2024,SHJ-JED,A321,2024.8,16140.7,235,7890.9,8032.5,7745,28.65,0,ATC,17.7,-23.1,Storm
AB3111,09-01-2024,SHJ-MCT,A321,2113.8,17185.7,183,9513,9614.9,9234.1,27.27,0,Weather,18.1,-11.9,Cloudy
AB3112,11-03-2024,SHJ-CAI,A320,2169.3,14805.9,174,9271.5,9449.2,9001.9,29.12,1,ATC,27.6,-13.3,Clear
AB3113,22-02-2024,SHJ-RUH,A320,2238.6,14303.2,153,7232.5,7303.9,6968,29.27,9,Late Arrival,9.9,-16.8,Cloudy
AB3114,02-04-2024,SHJ-CAI,A321,2225.1,16031.4,215,9455.9,9584.6,9092.5,29.36,0,ATC,28.6,-43.3,Clear
AB3115,28-03-2024,SHJ-MCT,A320,1774.3,12905.6,172,8138.4,8314.3,7855.3,29.11,3,Technical,22,3.5,Fog
AB3116,08-01-2024,SHJ-DOH,A320,2020.3,13863.8,133,8324.6,8386.2,7957.8,28.02,8,None,24.9,7.8,Clear
AB3117,13-03-2024,SHJ-RUH,A320,2035,13914.4,187,8648.8,8853.4,8356.3,27.26,22,ATC,22.2,-24.3,Storm
AB3118,29-04-2024,SHJ-RUH,A321,2311.8,17445.5,214,9972.5,10112.4,9662,28.77,3,Technical,18.1,-2.2,Fog
AB3119,19-02-2024,SHJ-DOH,A320,1450.5,13090.6,210,8275.2,8414.9,8015.9,27.21,0,Late Arrival,19.8,-31,Fog
AB3120,02-02-2024,SHJ-CAI,A321,2220.3,16829.4,212,7791,7913.2,7488.4,27.6,0,Weather,12.7,-8.8,Cloudy
AB3121,28-02-2024,SHJ-RUH,A321,1800.3,17329.8,217,9242.5,9302.7,9090.6,29.78,35,Technical,12.8,-2.9,Rain
AB3122,22-03-2024,SHJ-JED,A320,1937.2,13993.2,150,7418.6,7527.5,6936.3,29.33,14,None,15.7,-11.2,Storm
AB3123,02-02-2024,SHJ-MCT,A321,2631.6,15855.9,228,9690.5,9716.9,9535.5,28.55,16,None,22.4,-43.6,Storm
AB3124,13-04-2024,SHJ-CAI,A320,1930.5,13881.6,165,8588.6,8703.8,8114,26.64,6,ATC,22.3,-6.7,Storm
AB3125,31-03-2024,SHJ-RUH,A320,1933.2,13490,137,8589.5,8724.2,8410.9,28.69,0,None,17.4,-17,Cloudy
AB3126,17-04-2024,SHJ-JED,A321,2077,15118.3,209,9565,9625.9,9128.9,30.07,0,Technical,11.3,-24.5,Storm
AB3127,23-02-2024,SHJ-DOH,A321,2011.8,15141.4,240,9048.4,9098.6,8517.2,27.29,35,None,14.4,-17.9,Storm
AB3128,19-02-2024,SHJ-DOH,A321,1928.9,16461.9,182,9426.1,9537.6,9173.5,29.63,14,Technical,20.3,-21.6,Storm
AB3129,18-01-2024,SHJ-JED,A320,1712.9,14470.1,162,7926.7,7975,7586.9,29.43,5,Technical,18.6,-20.7,Cloudy
AB3130,13-03-2024,SHJ-MCT,A321,2330.5,16839.2,209,10948.8,11110.9,10969.1,29.92,0,None,22.6,-4.1,Fog
AB3131,20-04-2024,SHJ-DOH,A321,2312.4,14940.9,223,10507.2,10629.3,10264.4,28.65,27,Late Arrival,16.4,-28.7,Cloudy
AB3132,20-02-2024,SHJ-MCT,A321,2192.1,15158.3,207,9862.1,9974.5,9475.1,27.57,37,ATC,25.2,-18.3,Storm
AB3133,08-02-2024,SHJ-RUH,A321,2049.6,15968.4,205,9778.7,9835.7,9509.1,30.02,15,ATC,12.7,-15.6,Cloudy
AB3134,13-02-2024,SHJ-RUH,A320,1832.4,13281.9,188,8134.9,8230.7,7856.6,28.44,8,Late Arrival,17.6,-4,Fog
AB3135,25-02-2024,SHJ-MCT,A321,1916.3,15248.4,225,11915.8,12109.1,11528.2,28.57,0,ATC,20.3,-5.7,Cloudy
AB3136,19-02-2024,SHJ-RUH,A320,1537.7,13786.8,164,7321.1,7463.3,7077.4,28.47,25,Technical,19.7,-33.1,Fog
AB3137,08-04-2024,SHJ-MCT,A321,2284.6,15547.9,203,8463.8,8568.3,8224.8,28.54,0,Weather,23.7,-21.8,Cloudy
AB3138,20-01-2024,SHJ-DOH,A321,2094.4,15417.6,172,9278,9413.6,9115.8,29.03,41,Weather,19.1,-30.9,Cloudy
AB3139,07-04-2024,SHJ-DOH,A321,1824,17306.5,184,9091.9,9222.4,8624.4,29.39,28,Late Arrival,22.5,3.7,Fog
AB3140,08-03-2024,SHJ-JED,A320,1679.6,13623.3,146,7967.3,7979.6,7680.5,27.35,38,Late Arrival,19.2,-9.3,Clear
AB3141,11-01-2024,SHJ-DEL,A320,1775.9,12112.9,162,9041.7,9179,8860.3,26.3,10,None,20.7,-24.7,Clear
AB3142,12-02-2024,SHJ-DEL,A321,2694.5,16006.8,198,9704.5,9732.4,9480,27.9,25,None,16.5,5.5,Rain
AB3143,26-01-2024,SHJ-JED,A320,1711.8,14710.5,175,7543.8,7557.3,7331.7,28.55,33,None,10.1,-25.6,Rain
AB3144,17-04-2024,SHJ-DEL,A321,2066.6,17051.4,203,10823,10861.2,10561.4,28.53,2,Late Arrival,20.6,-25.6,Rain
AB3145,15-03-2024,SHJ-DOH,A321,2288,15709.5,204,8715,8878.7,8499.6,28.28,3,Technical,23.2,-8.7,Cloudy
AB3146,07-02-2024,SHJ-CAI,A320,2128.2,14482.8,152,10057.1,10149.4,9698.9,28.06,13,None,16.8,-40.6,Cloudy
AB3147,25-04-2024,SHJ-MCT,A320,2125.3,13978.2,168,10078.1,10210.9,9846.5,27.21,16,Weather,19,-8.1,Fog
AB3148,26-04-2024,SHJ-RUH,A321,2441.6,15920.5,238,10987.5,11087.2,10712.5,28.51,3,ATC,12,-8.3,Fog
AB3149,21-03-2024,SHJ-DOH,A321,1789.9,15802.9,209,10799.8,10921.2,10554.3,28.92,28,Late Arrival,19.9,-7.5,Cloudy
AB3150,15-01-2024,SHJ-JED,A320,1689.9,12986,172,7512.3,7628.1,7209.2,29.24,25,None,14.6,-37.2,Clear
AB3151,06-04-2024,SHJ-DEL,A320,2141.5,12417.3,155,8645.2,8735.8,8181.4,28.03,0,None,18.6,-37.3,Storm
AB3152,18-02-2024,SHJ-DOH,A320,1649.9,14763.9,156,8917.2,8948.8,8632.6,29.17,0,None,15,-23,Fog
AB3153,29-03-2024,SHJ-CAI,A321,2401.2,15973.5,191,9662.7,9739.3,9384.1,29.22,0,Weather,9.4,12.1,Cloudy
AB3154,27-02-2024,SHJ-DEL,A321,2220.8,16674.2,194,10397.7,10358.4,10151,28.43,4,None,17.1,-23,Fog
AB3155,14-02-2024,SHJ-CAI,A320,1671,13258.5,159,6354.5,6459.4,6250.3,28.11,27,None,16.7,-37.9,Clear
AB3156,23-01-2024,SHJ-MCT,A321,1812.1,15609.8,218,10941.4,10980.8,10636,28.12,0,Late Arrival,16,-3.2,Cloudy
AB3157,15-01-2024,SHJ-JED,A320,2039.8,13827.7,168,7202.4,7391.9,7073.4,25.68,0,None,27,-19.8,Rain
AB3158,07-02-2024,SHJ-JED,A320,1574.8,14682.7,180,6667.3,6811.1,6420.6,27.18,15,Technical,25.1,-55.9,Storm
AB3159,03-01-2024,SHJ-RUH,A321,2131.8,16761.6,174,8970.4,9035.2,8565.9,27.52,32,None,20.2,-21,Rain
AB3160,18-04-2024,SHJ-CAI,A320,1780.3,15028.3,170,8645.6,8649.7,8414.9,28.62,32,Weather,16.9,-6.7,Fog
AB3161,25-04-2024,SHJ-DEL,A321,2133,16409.3,240,9208.5,9215,8943.5,29.69,0,Technical,18.7,-24.7,Cloudy
AB3162,07-01-2024,SHJ-JED,A320,1710.8,13882.3,164,9176.1,9308.6,8724.1,29.27,27,None,20.5,1.8,Rain
AB3163,27-02-2024,SHJ-DOH,A321,1938.3,15815.5,193,9198.6,9242.9,8830,29.5,0,ATC,16.3,-17,Storm
AB3164,25-03-2024,SHJ-DEL,A321,2536.2,15787.7,208,8421.8,8467.4,8194,29.24,18,Weather,21.4,-31.3,Cloudy
AB3165,21-04-2024,SHJ-RUH,A320,1901.6,14113.1,163,6758.6,6867.8,6443.3,28.1,18,None,21.5,-36.5,Clear
AB3166,08-02-2024,SHJ-DOH,A320,1756.7,14515.8,159,8959.4,8961.7,8650.4,28.84,7,None,9.2,-23.8,Storm
AB3167,19-02-2024,SHJ-DEL,A321,1946.3,17253.1,209,8576.3,8699.2,8195.2,28.76,0,Late Arrival,13.8,-32.9,Rain
AB3168,16-02-2024,SHJ-RUH,A321,2349.3,14819.1,209,9249.7,9361.4,8846.2,29.54,0,Weather,11.8,-24.9,Rain
AB3169,17-01-2024,SHJ-CAI,A321,2355.4,17274.9,201,8639.3,8732.4,8444.9,29.14,39,Weather,18.6,-10.8,Storm
AB3170,06-02-2024,SHJ-CAI,A320,1643.9,14041.7,167,7859.5,7965.8,7561.7,28.48,33,None,6.7,-3.3,Clear
AB3171,13-04-2024,SHJ-JED,A321,1857.8,16808.8,240,9457.5,9541.9,9139.5,29.67,17,None,14.6,-21.7,Clear
AB3172,03-01-2024,SHJ-MCT,A320,1576.3,13881.1,156,8136.5,8225.8,7907.5,28.01,11,Technical,19.4,-22.6,Cloudy
AB3173,17-02-2024,SHJ-DEL,A320,1642.7,14082.1,161,9024.6,9056,8609.6,28.62,26,Weather,11.3,-11.3,Cloudy
AB3174,09-04-2024,SHJ-DEL,A320,1979.2,13050.4,160,8186.3,8236.9,7829.3,29.16,0,ATC,24.6,-11.7,Clear
AB3175,04-04-2024,SHJ-CAI,A320,1675.6,14864.4,144,8114.9,8226.7,7791.1,27.16,0,ATC,18.6,-30.9,Storm
AB3176,21-03-2024,SHJ-CAI,A320,1854.3,13385.9,185,9562.7,9708.7,9292.4,27.79,0,Late Arrival,15.9,-18.7,Clear
AB3177,31-03-2024,SHJ-MCT,A320,1442.6,14625.7,166,9000.5,9106.5,8639.7,27.64,40,None,28.8,-25.1,Clear
AB3178,24-01-2024,SHJ-DEL,A320,2008.5,13293.3,153,7613.8,7660,7245.3,29.55,28,ATC,21.3,-24.4,Cloudy
AB3179,27-01-2024,SHJ-DEL,A320,1965.9,11082.6,173,8160.1,8280.4,8048.7,28.59,0,Technical,12.1,11,Fog
AB3180,25-01-2024,SHJ-DOH,A320,1762.7,14975.6,187,8393.9,8388.3,7992.2,27.77,0,None,9.3,-28.2,Storm
AB3181,18-03-2024,SHJ-JED,A320,1666.9,14041.4,164,8133.7,8250.4,7816.3,27.04,0,Weather,17.8,-20.3,Fog
AB3182,20-04-2024,SHJ-DEL,A321,1983.6,17581.6,224,8640.3,8840.8,8361.1,29.16,17,ATC,15,-24.7,Clear
AB3183,11-01-2024,SHJ-MCT,A320,2102.3,14113.3,163,8007.6,8109.6,7453.1,27.17,0,Technical,21.9,-41.4,Fog
AB3184,14-03-2024,SHJ-MCT,A320,1890.1,13276.2,127,7019.9,7189.7,6717.2,28.91,4,None,22.9,-25.4,Clear
AB3185,25-01-2024,SHJ-MCT,A321,1906.7,16521.1,179,10291.4,10347.4,9910.8,29.15,12,None,22.4,-38.7,Cloudy
AB3186,21-01-2024,SHJ-DOH,A321,2319.9,15183.2,225,10562.7,10723.7,10329.7,27.43,31,Late Arrival,25.2,-14.8,Fog
AB3187,22-03-2024,SHJ-CAI,A320,1760.9,14312.4,152,10624.6,10790.5,10383.3,27.26,41,Weather,28.1,-14.2,Rain
AB3188,04-04-2024,SHJ-MCT,A320,1857.3,13043.4,143,8297.9,8370.5,7852.1,30.21,0,Late Arrival,19.1,-16.5,Rain
AB3189,06-02-2024,SHJ-MCT,A320,1779.7,11956.2,152,8199.6,8331.4,7909.2,28.76,5,ATC,13.2,3.2,Storm
AB3190,14-02-2024,SHJ-JED,A320,1528.9,13404.7,148,8746.5,8837.8,8314.8,28.23,18,Late Arrival,27,-46.6,Storm
AB3191,11-01-2024,SHJ-JED,A321,2348.8,16876.5,202,9826.2,9955.4,9452.1,31.16,12,ATC,18.1,-22.7,Clear
AB3192,10-02-2024,SHJ-RUH,A321,2310.6,16467.9,210,9517.8,9587.4,9231.3,29.42,4,Late Arrival,21.1,-18.3,Fog
AB3193,27-03-2024,SHJ-DEL,A321,2122.7,18064.8,207,10122.8,10121.5,9892.8,28.43,0,None,16.8,2,Rain
AB3194,27-02-2024,SHJ-CAI,A321,2018.9,14394,240,9024.6,9164.1,8726.2,29.52,25,Technical,22.5,-46.2,Rain
AB3195,07-04-2024,SHJ-DOH,A321,1917.1,17671.2,194,8827.4,8907.1,8653.6,28.65,0,Weather,12.7,-15.2,Cloudy
AB3196,30-01-2024,SHJ-RUH,A320,1638.5,13393.7,121,9938.2,10013.5,9544,27.1,10,ATC,17.9,-39.1,Rain
AB3197,22-02-2024,SHJ-DOH,A321,1689.9,15973.9,178,9671.4,9722.7,9353.6,28.47,45,Technical,21.9,-26.8,Storm
AB3198,29-02-2024,SHJ-DOH,A321,2658.4,15303.1,193,9389.5,9579,9242.6,29.18,0,ATC,20.2,-17.8,Storm
AB3199,23-02-2024,SHJ-DEL,A320,1739.1,12791.5,136,10186.8,10371.7,10022.1,27.16,25,None,20.3,-10,Storm
AB3200,21-04-2024,SHJ-JED,A320,1946.4,12388.4,151,6632,6665.8,6313,26.02,5,Technical,7,-16.1,Clear
AB3201,25-02-2024,SHJ-JED,A320,1548.5,13159.4,119,9650.1,9731.9,9496.4,26.21,0,ATC,26.8,-15.5,Cloudy
AB3202,28-01-2024,SHJ-DEL,A320,1655.3,13965.8,153,7907.6,7991,7533.2,28.22,14,Technical,16.4,-31,Cloudy
AB3203,04-02-2024,SHJ-CAI,A320,1695,14699.2,180,6862.2,6924.6,6588.3,28.8,0,ATC,29,-16.7,Storm
AB3204,21-01-2024,SHJ-CAI,A321,2436.4,15485.4,210,10116.2,10217.2,9919.5,30.05,3,Technical,13.7,7,Storm
AB3205,18-03-2024,SHJ-JED,A321,1965.7,16655.9,195,8563.2,8652.9,8189,29.41,0,Weather,20.5,-30.8,Cloudy
AB3206,03-03-2024,SHJ-JED,A320,1424.2,15884.7,177,8227.3,8339.7,7802.3,27.2,6,Technical,14.6,-27.5,Clear
AB3207,09-01-2024,SHJ-CAI,A321,1948.5,15530,227,9832.1,9880.7,9582.4,28.59,0,Late Arrival,18.6,-5.8,Cloudy
AB3208,31-01-2024,SHJ-RUH,A321,2673.4,15396.7,228,8792.8,8836.3,8605.6,29.14,0,None,15,-26.6,Storm
AB3209,03-03-2024,SHJ-DEL,A321,2052,15687.4,161,9587,9647.1,9280.2,29.36,37,Late Arrival,18.1,0,Rain
AB3210,21-03-2024,SHJ-CAI,A321,2647.6,19030.5,186,8316.9,8423.4,8061.4,30.59,22,Late Arrival,12,-29.2,Fog
AB3211,17-01-2024,SHJ-RUH,A321,2191.6,15010.8,210,8311.6,8364.2,8176.6,29.41,18,Technical,18.5,-5.1,Rain
AB3212,13-04-2024,SHJ-JED,A320,1977.1,14204.4,166,8129.5,8120.8,7844.3,29.14,17,Technical,11.9,1.4,Storm
AB3213,09-01-2024,SHJ-DEL,A321,2082,16392.2,230,9720.1,9802.5,9286.6,30.69,0,Technical,24.6,-54,Cloudy
AB3214,27-01-2024,SHJ-CAI,A320,1580,14298,156,7925.3,7965.7,7621.1,26.88,14,None,14.7,0.1,Rain
AB3215,22-03-2024,SHJ-DOH,A321,2161.6,17218.8,218,8898.8,9058.1,8796.9,28.02,1,Weather,17.2,-20.8,Fog
AB3216,11-04-2024,SHJ-CAI,A320,1992.4,14005.8,162,9018.5,9081.7,8658.4,26.85,0,None,17.8,-38.7,Rain
AB3217,10-04-2024,SHJ-JED,A320,1818.2,13870.8,114,6593.8,6676.6,6582.4,29.07,0,None,11.4,-22.5,Fog
AB3218,31-01-2024,SHJ-MCT,A321,1987.2,15431.3,220,9005.1,9000.7,8853.8,31.21,32,Weather,15.7,-18.7,Clear
AB3219,10-02-2024,SHJ-RUH,A320,1702.3,14510.5,147,7456.8,7629.5,7111.3,28.74,34,Technical,16.4,-29.3,Cloudy
AB3220,20-03-2024,SHJ-CAI,A320,1412.3,14072.2,172,7700,7862.2,7477.7,28.63,36,Weather,13.2,-30.6,Storm
AB3221,18-03-2024,SHJ-JED,A321,2440.6,16452.7,198,9000.5,9150.6,8701.6,28.84,25,ATC,20.3,-33.2,Storm
AB3222,09-04-2024,SHJ-MCT,A321,2024.2,16049.7,183,8985.9,9084.3,8534.5,28.23,48,None,13.3,-34.4,Rain
AB3223,18-04-2024,SHJ-DEL,A321,2445.9,17161.3,207,10331.9,10372.6,10001.8,26.6,0,Technical,23.4,-26.4,Clear
